likes	coms	favs	size
175	60	26	5385
18	35	2	408
79	136	1	2290
505	889	87	4047
140	118	7	8112
193	205	26	7289
101	52	1	1321
57	68	0	1440
231	104	18	1037
85	20	1	1354
37	39	0	2016
56	38	5	4306
49	43	1	1270
62	15	1	2082
207	212	20	17459
75	62	2	1589
2	42	1	788
48	44	1	2417
56	135	1	1615
49	47	1	1261
40	18	1	2035
18	68	1	860
69	63	1	1430
120	50	1	1120
33	18	3	2869
88	143	3	2793
39	53	4	2214
125	49	6	2215
75	34	1	4896
71	77	1	5979
136	155	20	3665
52	119	5	6943
85	51	3	1675
78	49	4	4512
190	113	5	2991
62	113	7	2237
67	39	6	2125
135	138	6	2686
10	20	0	1751
32	13	1	1780
93	64	2	1976
34	13	1	1893
94	39	1	2630
54	47	1	1506
3	9	0	577
82	80	3	3418
49	19	8	473
70	107	1	2494
50	68	1	2341
37	57	8	1789
87	36	5	1123
23	20	0	1610
17	8	1	1313
17	19	0	520
178	177	12	7112
91	74	7	5625
100	209	4	1523
23	85	0	4520
26	56	1	1564
207	184	88	14005
94	117	5	2248
72	63	3	6653
167	70	2	1635
54	36	1	2388
39	22	1	2797
67	18	1	1433
96	123	1	2511
45	42	0	1300
103	118	0	1883
30	19	0	977
34	43	1	3014
72	132	5	2408
19	19	0	1448
18	37	1	1809
132	111	18	9328
16	31	2	436
36	32	1	1764
31	34	0	1510
60	22	5	1720
147	144	12	3657
91	403	5	3698
51	36	1	2184
131	306	1	3585
41	20	1	1109
66	105	1	1696
94	59	7	4833
107	191	18	5329
48	41	1	986
35	39	0	551
56	42	1	1959
59	85	29	21207
52	42	1	339
165	68	5	3139
110	138	0	1855
44	33	1	543
23	4	0	658
178	197	10	4123
27	78	3	1219
35	33	0	1403
30	97	0	1988
53	95	1	2089
42	44	1	2343
95	49	1	2076
84	51	2	2610
41	77	0	1704
41	242	1	3354
16	11	0	1586
32	54	1	1146
37	15	1	1069
29	15	0	1204
144	80	71	5677
87	74	1	2373
28	51	0	2659
